GENE	TCGA-OR-A5J1	TCGA-OR-A5J2	TCGA-OR-A5J3
C18orf32	3210.5764	1320.3337	2500.6429
C18orf34	3.3622	0.4026	20.1452
C18orf45	30.7397	86.1629	65.7680
C18orf54	32.6609	46.7051	11.8501
C18orf55	335.2546	239.9677	542.7344
C18orf56	8.6455	4.4289	13.0351
C18orf62	0.0000	0.0000	0.0000
C18orf8	378.8280	421.6949	393.7431
C19orf10	1127.7618	1738.1554	3399.2001
C19orf12	1065.3218	600.3219	1468.8194
C19orf18	0.9606	7.6500	24.2927
C19orf20	126.3208	215.8099	189.0090
C19orf21	0.4803	10.4684	5.3325
C19orf22	1231.0279	747.6846	1748.4817
C19orf23	63.4006	7.6500	43.2529
C19orf24	2001.4409	837.4712	1222.3374
C19orf25	993.2757	284.2571	847.2819
C19orf26	56.1960	19.7289	2.9625
C19orf28	1041.3064	859.2132	2852.3182
C19orf29	576.8492	514.1590	921.3450
C19orf2	2117.6753	1159.5755	2295.3636
C19orf30	0.4803	0.0000	0.0000
C19orf33	2.4015	2.4681	0.0000
C19orf34	0.0000	0.0000	0.0000
C19orf35	6.7243	2.4158	1.7775
C19orf36	221.9020	47.1078	49.7704
C19orf38	26.8972	11.6763	18.9602
C19orf39	135.9270	45.4972	180.7140
C19orf40	29.2988	52.7446	22.5152
C19orf41	0.0000	0.0000	0.0000
C19orf42	1975.0240	1174.8755	2443.4899
C19orf43	2370.7973	2401.6902	1942.2308
C19orf44	241.8396	135.7629	219.2386
C19orf45	15.3698	10.0658	26.6627
C19orf46	2.4015	33.0157	4.7400
C19orf47	2764.6494	340.6253	391.0532
C19orf48	269.9328	1460.3404	6716.0421
C19orf50	1574.9280	1254.9989	2475.4851
C19orf51	22.5744	15.7026	227.5218
C19orf52	243.5159	341.8332	285.5873
C19orf53	3919.7887	2626.3580	3059.1024
C19orf54	3167.1470	259.2940	570.5821
C19orf55	32.1806	136.4917	92.4308
C19orf56	3909.2219	4197.8244	3864.9089
C19orf57	26.8972	25.7683	34.9578
C19orf59	0.4803	0.0000	1.1850
C19orf60	418.3477	322.1043	918.9750
C19orf61	2626.8012	485.9749	1027.9959
C19orf62	1115.2738	1203.6917	2166.7901
C19orf63	2995.1729	4805.4701	9943.7594
C19orf66	575.4515	491.3017	1302.8944
C19orf69	0.0000	0.0000	0.0000
C19orf6	4271.8540	4126.9614	7568.6565
C19orf70	1937.0797	800.8318	1696.9338
C19orf71	6.2440	6.4421	13.6276
C19orf73	29.2988	11.2737	17.1826
C19orf75	0.0000	0.0000	0.0000
C19orf76	17.2911	4.0263	65.7680
C19orf77	0.4803	0.4026	61.6205
C1D	165.2257	233.9283	193.1566
C1GALT1C1	445.2450	301.1675	999.5556
C1GALT1	126.8012	421.1514	630.4251
C1QA	2591.7387	839.8870	644.0527
C1QBP	2148.3814	1680.6879	1931.6783
C1QB	2429.3948	967.9234	540.3644
C1QC	1976.9452	752.9188	425.4185
C1QL1	11.5274	8.8579	13.6276
C1QL2	39.8655	0.0000	1.7775
C1QL3	0.0000	57.9788	17.7751
C1QL4	157.0605	192.4573	8.2951
C1QTNF1	2390.4899	3034.6252	2349.2816
C1QTNF2	24.0154	16.9105	13.6276
C1QTNF3	34.5821	22.5473	34.9578
C1QTNF4	2.4015	30.1973	5.3325
C1QTNF6	232.9491	323.7148	315.2126
C1QTNF7	38.4246	110.7234	3.5550
C1QTNF8	1.9212	0.8053	0.5925
C1QTNF9B	0.0000	3.3136	2.8796
C1QTNF9	1.7195	0.8053	4.1475
C1RL	33.6215	545.6608	4748.7069
C1R	231.5082	1606.0926	17570.7303
C1S	263.2085	1268.3219	9737.8166
C1orf100	0.0000	0.0000	0.0000
C1orf101	9.6061	4.4289	9.4801
C1orf103	282.4207	380.8883	647.6078
C1orf104	430.3266	69.6148	73.1566
C1orf105	0.0000	0.0000	14.2201
C1orf106	7.2046	2.0132	8.8876
C1orf107	246.3977	1018.6549	505.9991
C1orf109	259.8463	227.0835	324.1001
C1orf110	0.0000	0.0000	0.0000
C1orf111	0.0000	3.6237	0.5925
C1orf112	26.5322	82.0158	47.8329
C1orf113	29.9424	50.8925	14.3208
C1orf114	3.3622	4.0263	14.8126
C1orf115	1804.9952	1542.4770	503.6291
C1orf116	1.4409	13.2868	83.5432
C1orf122	930.4995	882.8637	1279.7156
C1orf123	1710.3746	584.2167	808.7691
C1orf124	128.2421	204.9389	141.6087
C1orf125	56.1960	4.8316	64.5830
C1orf126	9.2699	18.1828	96.7323
C1orf127	0.9606	1.6105	4.7400
C1orf128	1653.2181	762.5819	1112.7240
C1orf129	0.0000	0.4026	0.0000
C1orf130	0.0000	0.8053	0.0000
C1orf131	188.2805	291.1018	168.8639
C1orf133	10.0865	3.2210	1.7775
C1orf135	49.9520	19.7289	26.0702
C1orf141	0.4803	1.2079	1.1850
C1orf144	4524.4044	4094.3484	3251.0739
C1orf146	0.0000	0.0000	0.0000
C1orf14	0.0000	0.0000	0.0000
C1orf150	0.0000	0.4026	0.5925
C1orf151	979.2843	586.6325	1052.7744
C1orf152	13.4486	4.0263	10.0726
C1orf156	127.7618	130.0496	138.0536
C1orf157	0.0000	0.0000	0.0000
C1orf158	0.0000	0.0000	0.0000
C1orf159	182.0365	76.0971	209.7467
C1orf161	0.0000	0.4026	17.1826
C1orf162	233.9097	43.8867	32.5878
C1orf163	153.2181	183.1968	143.3862
C1orf168	0.0000	0.4026	0.0000
C1orf170	9.1258	2.4158	17.7751
C1orf172	46.5898	2.0132	5.9250
C1orf173	0.9606	0.8053	0.0000
C1orf174	517.7714	470.2723	318.7676
C1orf175	1.9212	4.8316	45.7591
C1orf177	0.4803	0.0000	1.1850
C1orf180	0.0000	0.0000	0.0000
C1orf182	2.4015	4.4289	2.3700
C1orf183	25.4563	33.4183	10.6651
C1orf185	0.0000	0.0000	0.0000
C1orf186	0.4803	1.6105	0.0000
C1orf187	0.0000	1.6105	1.7775
C1orf189	0.0000	1.2079	0.0000
C1orf190	53.6407	30.5959	109.4356
C1orf192	0.4803	26.9762	8.2951
C1orf194	0.0000	0.4026	0.0000
C1orf198	427.4736	796.4029	699.1557
C1orf200	1.4409	0.0000	0.0000
C1orf201	109.0298	170.7153	93.6158
C1orf203	39.4236	53.1794	14.8363
C1orf204	57.5120	146.5212	29.1098
C1orf210	0.0000	0.0000	0.5925
C1orf212	888.5687	595.0877	1125.1666
C1orf213	377.6609	27.8701	68.9735
C1orf216	526.8972	455.7776	458.0062
C1orf21	4218.5399	1540.4639	2085.0244
C1orf220	11.5274	6.8447	0.0000
C1orf223	5.2834	1.6105	0.0000
C1orf226	151.7771	1764.3263	206.7842
C1orf227	0.0000	0.4026	2.3700
C1orf228	10.0865	3.6237	6.5176
C1orf229	77.3295	30.1973	7.7026
C1orf230	0.0000	10.4684	0.5925
C1orf25	851.1047	880.1500	468.0788
C1orf26	289.6254	109.9181	132.7211
C1orf27	1043.2277	1127.7677	865.0570
C1orf31	646.0134	186.8205	330.6177
C1orf35	697.8866	469.0644	355.5029
C1orf38	248.7992	214.1994	50.3629
C1orf43	2962.0557	7390.6833	2838.0981
C1orf49	0.0000	0.0000	0.5925
C1orf50	253.6023	144.1417	216.2643
C1orf51	259.3660	624.4797	279.6623
C1orf52	508.1652	108.3076	197.8966
C1orf53	50.4323	84.5524	152.8662
C1orf54	91.7387	137.6996	30.8103
C1orf55	353.0259	835.4580	314.0276
C1orf56	218.4726	559.7327	249.4742
C1orf57	815.0817	592.6719	559.9170
C1orf58	84.4909	383.6544	158.7913
C1orf59	481.2680	129.2444	79.9881
C1orf61	1.4409	0.4026	3.5550
C1orf63	1214.2171	205.3415	337.7277
C1orf64	2.4015	0.4026	0.0000
C1orf65	0.0000	0.0000	0.5925
C1orf66	427.9539	863.2395	582.4322
C1orf68	0.0000	0.0000	0.0000
C1orf69	376.0807	371.2252	442.6011
C1orf70	42.2671	5.6368	0.0000
C1orf74	45.6292	69.2524	53.3254
C1orf77	2395.2930	2052.6097	1434.4542
C1orf83	77.3295	83.3445	140.4236
C1orf84	3.3622	4.3202	3.7269
C1orf85	1185.3987	6224.2631	1035.1059
C1orf86	1830.6436	364.1711	331.7316
C1orf87	0.0000	0.0000	0.5925
C1orf88	30.2594	155.8180	60.4355
C1orf89	36.9837	134.0759	53.9179
C1orf91	268.4534	247.1184	105.4659
C1orf92	0.4803	0.4026	0.0000
C1orf93	1169.1979	1199.7983	2481.1554
C1orf94	0.0000	0.8053	24.8852
C1orf95	2.4015	4.0263	0.5925
C1orf96	317.0029	481.5459	237.5944
C1orf97	63.4006	198.8994	86.5057
C1orf9	1040.3458	1331.0961	2249.7408
C20orf103	837.6561	22.1447	23.7002
C20orf106	0.4803	0.0000	0.0000
C20orf107	1.4409	1.6105	1.1850
C20orf108	4135.9270	5710.9094	6311.9538
C20orf111	650.3362	848.7449	515.4792
C20orf112	785.7829	2278.0827	526.7368
C20orf114	0.0000	0.4026	2.9625
C20orf117	993.2757	2268.0170	496.5190
C20orf118	13.1844	24.6088	5.4570
C20orf11	1321.8060	2420.6139	1208.7098
C20orf123	0.0000	0.4026	31.4028
C20orf12	170.0288	52.3419	45.0304
C20orf132	15.3698	19.7289	27.8477
C20orf134	1.4409	27.7815	2.3700
C20orf135	321.8060	173.9363	144.5712
C20orf141	0.0000	0.0000	0.0000
C20orf144	0.0000	0.8254	0.5925
C20orf151	0.0000	0.8053	0.5925
C20orf152	4.3228	12.8842	0.5925
C20orf160	86.9356	169.9100	33.7728
C20orf165	0.9606	10.0658	2.3700
C20orf166	0.0000	0.0000	0.0000
C20orf173	0.0000	0.4026	0.0000
C20orf177	44.1883	213.7967	69.9156
C20orf185	0.0000	0.0000	0.0000
C20orf186	0.0000	0.0000	0.0000
C20orf191	0.0000	0.0000	0.0000
C20orf194	580.6916	500.0669	655.3103
C20orf195	0.0000	2.8184	10.6651
C20orf196	229.1066	47.5104	82.3582
C20orf197	0.4803	0.0000	0.0000
C20orf199	373.1988	1510.2666	635.1652
C20orf200	0.0000	1.6105	0.0000
C20orf201	0.4803	31.0025	0.0000
C20orf202	24.4957	10.4684	39.1053
C20orf203	4.8031	5.2342	27.8477
C20orf20	591.2584	481.1433	539.7719
C20orf24	923.6311	2280.9011	1739.5941
C20orf26	0.9606	0.8053	0.0000
C20orf27	482.2286	243.5914	767.2937
C20orf29	457.7329	259.2940	176.5664
C20orf30	6417.8674	3115.5539	2892.0160
C20orf3	2254.0826	1893.9733	3463.7831
C20orf43	2964.4573	3549.5895	2070.8043
C20orf46	336.2152	21.7420	475.1889
C20orf4	1257.9251	1632.6662	971.7079
C20orf54	14.4092	4.8316	8.2951
C20orf56	3.3622	0.0000	0.0000
C20orf70	0.4803	0.4026	4.7400
C20orf71	0.0000	0.0000	0.0000
C20orf72	643.6119	227.4862	446.7486
C20orf79	0.0000	0.0000	0.0000
C20orf7	276.1768	84.9550	193.1566
C20orf85	0.0000	0.0000	0.0000
C20orf94	1.9212	11.6763	9.4801
C20orf96	172.9107	101.4629	133.3136
C21orf119	362.1518	105.8918	226.3368
C21orf121	2.4015	0.0000	4.1475
C21orf122	37.4640	72.4735	117.9085
C21orf125	6.2440	4.4289	4.7400
C21orf128	0.4803	1.5622	0.0000
C21orf129	0.0000	0.0000	2.3700
C21orf130	0.4803	0.4026	2.9625
C21orf131	0.0000	0.0000	0.0000
C21orf15	67.2430	5.2342	2.9625
C21orf29	0.0000	0.0000	4.1475
C21orf2	1016.3305	343.4437	1157.1619
C21orf33	3279.0586	1554.9585	6114.0572
C21orf34	21.1335	42.2762	5.3325
C21orf45	284.3420	133.6733	424.8260
C21orf49	2.8818	18.1184	7.7026
C21orf54	0.0000	0.0000	0.0000
C21orf56	46.1095	1303.7172	712.7833
C21orf57	69.1643	229.0967	305.1400
C21orf58	98.9433	75.2919	82.9507
C21orf59	1294.4284	540.7326	975.0378
C21orf62	0.0000	0.4026	1.1850
C21orf63	188.7608	62.0051	163.5313
C21orf67	27.3775	42.6788	47.9929
C21orf70	373.1988	222.6546	585.3948
C21orf71	2.8818	1.6105	2.3700
C21orf7	495.1969	48.7183	382.1656
C21orf81	4.8031	1.2079	0.5925
C21orf82	2.4015	3.6237	1.1850
C21orf84	2.8818	0.8053	5.9250
C21orf88	5.2834	0.4026	0.0000
C21orf90	0.0000	0.4026	2.9625
C21orf91	309.3180	228.2914	412.9759
C21orf94	0.0000	0.0000	0.0000
C21orf96	0.0000	0.0000	0.0000
C21orf99	0.0000	0.0000	0.0000
C22orf13	1690.7589	1334.3936	2546.9767
C22orf15	0.9606	1.6105	3.5550
C22orf23	20.1729	45.4972	27.8477
C22orf24	0.4803	0.4026	1.1850
C22orf25	412.5841	824.5870	533.8468
C22orf26	12.4880	14.8973	11.2576
C22orf27	86.4553	49.5235	126.7960
C22orf28	450.5283	982.0155	1344.3934
C22orf29	558.2757	336.2608	298.8061
C22orf30	472.1422	760.1662	607.9099
C22orf31	3.8425	0.0000	0.5925
C22orf32	905.3794	888.2026	468.6713
C22orf33	0.0000	0.0000	0.0000
C22orf34	0.4803	0.0000	0.0000
C22orf36	145.0528	27.3789	104.8734
C22orf39	1385.2065	405.3562	331.2102
C22orf40	353.5062	176.3521	101.9108
C22orf41	0.0000	0.8053	0.0000
C22orf42	0.0000	0.0000	0.0000
C22orf43	5.2834	1.6105	2.3700
C22orf45	0.4803	2.0132	2.3700
C22orf46	110.9510	182.3916	299.2149
C22orf9	493.7560	1244.1279	1997.9262
C2CD2L	377.0221	399.1114	298.5810
C2CD2	18812.1998	5325.9947	6548.3632
C2CD3	1621.0375	595.4903	307.5100
C2CD4A	26.4169	0.8053	327.0627
C2CD4B	0.9606	9.2605	4.1475
C2CD4C	4.8031	8.0526	5.3325
C2CD4D	0.0000	2.8184	0.5925
C2orf14	0.0000	0.4026	0.0000
C2orf15	116.0855	21.3394	5.8065
C2orf16	78.2901	60.3946	38.5128
C2orf18	1203.1700	1695.4765	2185.7503
C2orf24	3621.9981	1670.1108	2796.0302
C2orf27A	200.2882	14.0921	21.9227
C2orf27B	0.0000	0.0000	0.0000
C2orf28	3592.6081	2121.7454	2216.1872
C2orf29	968.2997	595.4903	702.1182
C2orf34	178.6744	28.9894	122.6485
C2orf39	0.0000	0.0000	0.5925
C2orf3	282.4207	367.6015	261.2946
C2orf40	0.0000	16.5078	4.7400
C2orf42	286.2632	194.4705	202.0441
C2orf43	246.8780	267.3466	488.8165
C2orf44	149.8559	143.7390	252.9996
C2orf47	281.9404	233.1230	294.4749
C2orf48	0.9606	2.8184	0.0000
C2orf49	89.8175	98.6444	72.2856
C2orf50	7.6849	2.0132	0.5925
C2orf51	0.0000	0.0000	0.0000
C2orf52	11.0471	8.4552	4.7400
C2orf53	0.0000	0.0000	0.5925
C2orf54	0.0000	0.0000	0.0000
C2orf55	156.0999	62.4077	24.2927
C2orf56	393.3718	204.1336	319.9526
C2orf57	0.0000	0.0000	0.0000
C2orf58	13.4486	2.4158	4.7400
C2orf60	174.3516	136.8943	159.3838
C2orf61	0.0000	0.0000	1.1850
C2orf62	0.4803	4.0263	4.1475
C2orf63	146.9741	40.6657	90.0607
C2orf64	1141.6907	443.6987	674.8630
C2orf65	4.8031	2.0132	2.3700
C2orf66	0.0000	0.0000	4.1475
C2orf67	1144.2555	401.4990	341.2650
C2orf68	1095.5812	594.6851	306.9175
C2orf69	835.2546	406.2541	535.0318
C2orf70	0.9606	0.4026	1.7775
C2orf71	0.0000	0.8053	0.0000
C2orf72	0.9606	35.0288	334.7652
C2orf73	1.9212	2.4158	4.1475
C2orf74	250.7205	88.5787	336.5427
C2orf76	78.2901	104.2813	80.5807
C2orf77	17.2911	24.5605	6.5176
C2orf78	0.0000	0.0000	0.0000
C2orf79	550.4323	243.9940	450.3037
C2orf7	1046.5898	342.6385	1158.3469
C2orf80	0.0000	0.0000	0.0000
C2orf81	39.3612	35.0812	140.2814
C2orf82	0.0000	1.6105	2.9625
C2orf83	0.0000	0.0000	0.0000
C2orf84	5.7637	0.8053	10.6651
C2orf85	0.4803	0.4026	0.0000
C2orf86	43.7080	176.3521	59.8430
C2orf88	241.1143	14.8973	4.7400
C2orf89	0.9606	6.0395	13.0351
C2	44.1883	209.8832	188.4165
C3AR1	281.4601	97.0339	40.2903
C3P1	0.4803	0.4026	0.0000
C3orf10	1786.7435	3170.3116	2168.5676
C3orf14	352.5456	229.9019	277.8848
C3orf15	94.1402	53.1472	32.5878
C3orf16	0.0000	0.0000	0.0000
C3orf17	894.3324	1197.4228	668.3454
C3orf18	79.2507	526.6405	404.0883
C3orf19	513.9289	454.5697	278.4773
C3orf1	1275.6964	1341.5644	980.5955
C3orf20	0.0000	0.8053	0.0000
C3orf21	188.2805	559.6562	306.3250
C3orf22	0.9606	0.0000	0.5925
C3orf23	374.1595	1006.9786	388.6832
C3orf24	0.0000	0.0000	0.0000
C3orf26	580.2113	558.4483	581.8397
C3orf27	0.0000	0.0000	0.0000
C3orf30	0.0000	0.0000	0.0000
C3orf31	293.9481	152.5969	128.5735
C3orf32	1.9212	0.8053	0.5925
C3orf33	211.8156	301.5702	303.3625
C3orf34	16.8108	72.4735	72.8781
C3orf35	10.0865	9.6631	6.5176
C3orf36	0.9606	3.6237	1.7775
C3orf37	1068.2037	940.1419	331.2102
C3orf38	310.2786	447.7250	299.2149
C3orf39	1846.7819	1979.3310	695.6007
C3orf42	23.5351	4.4289	20.7377
C3orf43	2.8818	10.4684	1.1850
C3orf45	1.0038	4.6464	9.0890
C3orf47	50.9126	26.5736	15.4051
C3orf48	0.0000	0.8053	1.1850
C3orf49	0.0000	0.0000	0.5925
C3orf50	0.4803	0.0000	0.0000
C3orf51	0.0000	0.0000	0.0000
C3orf52	5.7637	36.2367	24.2927
C3orf54	49.4717	26.1710	45.0304
C3orf55	14.4092	48.3156	9.4801
C3orf57	11.0471	32.6131	0.5925
C3orf58	813.1604	1212.3201	808.1766
C3orf59	154.1787	622.8692	111.9834
C3orf62	212.2959	144.1417	257.1471
C3orf63	1938.0115	2956.9538	1181.2531
C3orf64	726.2248	502.4827	109.6134
C3orf65	0.0000	0.4026	0.0000
C3orf66	0.0000	0.0000	0.0000
C3orf67	42.7474	189.2363	71.6931
C3orf70	28.3381	555.6299	29.6252
C3orf71	70.1249	81.1300	39.6978
C3orf72	192.1230	69.2524	6.5176
C3orf74	0.0000	0.0000	0.0000
C3orf75	1382.3247	727.5531	610.8725
C3orf77	0.0000	0.0000	0.0000
C3orf79	0.0000	0.0000	0.0000
C3	1258.4054	106.2944	103678.2699
C4A	17004.0442	17002.2598	72728.8105
C4BPA	16.8108	1.2079	0.5925
C4BPB	7.2046	0.0000	2.9625
C4orf10	150.3122	470.7313	108.6772
C4orf11	0.0000	0.0000	0.0000
C4orf12	42.2671	240.7730	23.7002
C4orf14	282.4207	666.3533	551.0295
C4orf17	0.0000	0.0000	0.0000
C4orf19	0.0000	34.4531	7.1101
C4orf21	141.6907	73.2787	58.0655
C4orf22	0.0000	0.0000	0.0000
C4orf23	164.7454	148.9732	146.3487
C4orf26	0.9606	0.4026	0.0000
C4orf27	453.4102	204.9389	481.7064
C4orf29	85.4947	152.5969	58.0655
C4orf31	158.5014	3.2210	53.9179
C4orf32	200.7685	118.7760	114.9459
C4orf33	553.7944	207.3546	150.4962
C4orf34	816.0423	603.5429	891.7197
C4orf35	0.0000	0.0000	0.0000
C4orf36	0.4803	0.8053	2.3700
C4orf37	0.4803	0.4026	0.0000
C4orf38	20.6532	11.2737	2.3700
C4orf39	0.9606	14.8973	78.8031
C4orf3	1139.2891	1825.9288	3755.2955
C4orf40	0.9606	3.2210	0.0000
C4orf41	1592.2190	1337.9408	777.3663
C4orf42	480.3074	587.4377	361.4279
C4orf43	255.5235	221.4467	278.4773
C4orf44	5.2834	2.8184	1.1850
C4orf45	0.0000	0.0000	0.0000
C4orf46	189.7214	190.4442	121.4635
C4orf47	1.9212	0.4026	126.7960
C4orf48	147.9347	45.0946	2.3700
C4orf49	2880.8838	928.0630	1126.9442
C4orf50	0.4803	171.5205	12.4426
C4orf51	0.0000	0.0000	0.0000
C4orf52	258.4054	473.8960	394.6082
C4orf6	0.9606	3.6237	316.3976
C4orf7	0.0000	3.6237	0.0000
C5AR1	188.2805	192.4573	154.0513
C5orf13	4169.5485	2020.8019	1334.3208
C5orf15	1295.8694	1860.1524	1224.1149
C5orf20	2.4015	0.8053	0.0000
C5orf22	269.9328	495.6380	778.5513
C5orf23	47.0701	97.0339	1039.8459
C5orf24	1526.4169	1972.4863	981.7805
C5orf25	1060.2882	600.0682	191.3791
C5orf27	16.3305	2.8184	24.8852
C5orf28	119.5965	279.0229	299.8074
C5orf30	523.5351	301.1675	454.4512
C5orf32	3246.8780	1615.7557	2784.7726
C5orf33	4473.5831	969.5340	1077.1738
C5orf34	5.2834	22.5473	48.5854
C5orf35	67.2430	35.8341	83.5432
C5orf36	38.9049	36.2367	68.1381
C5orf38	1134.9664	6.8447	37.9203
C5orf39	81.6523	44.2893	40.2903
C5orf40	0.0000	0.4026	0.0000
C5orf41	129.2027	594.6851	283.8098
C5orf42	603.2661	278.6202	401.7183
C5orf43	1907.7810	677.2243	2037.6241
C5orf44	183.9577	623.0182	505.3651
C5orf45	423.5495	161.8695	297.9055
C5orf46	0.0000	0.0000	0.5925
C5orf47	0.4803	4.8316	2.3700
C5orf48	0.0000	0.0000	0.5925
C5orf49	1.9212	0.8053	1.7775
C5orf4	824.6878	506.1064	1413.7165
C5orf51	477.9059	566.0983	868.6121
C5orf52	0.0000	0.0000	0.0000
C5orf53	408.2613	290.6991	537.4019
C5orf54	290.1057	109.9181	228.1144
C5orf55	283.3814	135.6864	343.6528
C5orf56	81.1960	99.1316	20.7377
C5orf58	0.9606	1.6105	0.5925
C5orf60	0.9606	0.0000	0.5925
C5orf62	244.4765	158.6364	1118.0566
C5	14.8895	136.0891	79.3956
C6orf103	0.0000	0.0000	0.0000
C6orf105	0.4803	1.2079	15.9976
C6orf106	1930.8357	2652.9316	1709.3764
C6orf108	798.2709	634.1429	710.4133
C6orf10	0.4803	0.0000	0.0000
C6orf114	1.4409	3.2210	1.7775
C6orf115	329.0106	403.4356	186.6390
C6orf118	0.0000	0.8053	0.0000
C6orf120	1323.2613	1060.0694	653.4262
C6orf122	6.7723	2.8184	22.6752
C6orf123	0.0000	0.8053	0.0000
C6orf124	6.2440	0.8053	1.7775
C6orf125	651.1720	769.0160	858.3795
C6orf126	0.0000	0.0000	0.0000
C6orf127	0.0000	0.0000	0.0000
C6orf129	135.4467	288.2834	249.4445
C6orf130	729.5869	325.7280	245.8895
C6orf132	0.0000	110.7234	2.9625
C6orf134	203.1700	134.8812	91.2457
C6orf136	702.6897	440.8803	316.3976
C6orf138	125.3602	3.6237	8.2951
C6orf141	0.9606	0.4026	20.7377
C6orf142	1.4409	3.2210	146.9412
C6orf145	399.1354	500.4696	161.7538
C6orf146	0.0000	0.0000	0.0000
C6orf147	37.9635	6.4421	3.0158
C6orf150	0.9606	31.8078	5.9250
C6orf153	804.5149	478.3249	597.2449
C6orf154	185.8790	196.0810	206.1917
C6orf155	6.2440	15.3000	3.5550
C6orf15	0.0000	0.0000	0.0000
C6orf162	181.9933	120.7448	64.5830
C6orf163	1.9212	2.4158	8.8876
C6orf164	5.3266	2.4601	6.5176
C6orf165	6.2440	1.6105	23.7002
C6orf167	165.2257	148.9732	104.2808
C6orf168	26.4169	98.6444	4.7400
C6orf170	145.5331	154.6101	36.1428
C6orf174	277.1854	42.6788	243.6439
C6orf176	72.4352	28.2808	119.3897
C6orf182	93.1796	101.0602	100.7258
C6orf186	0.0000	0.8053	0.5925
C6orf191	0.0000	0.0000	0.0000
C6orf192	115.2738	208.5625	217.4493
C6orf195	3.3622	4.4289	0.0000
C6orf1	785.7829	724.3321	578.8772
C6orf201	41.3305	14.4987	7.7026
C6orf203	438.5207	174.3390	445.5636
C6orf204	53.7944	90.9945	26.0702
C6orf208	4.7550	0.8053	12.2826
C6orf211	696.9260	1084.2836	526.7368
C6orf217	3.8425	1.6105	13.0351
C6orf218	0.9606	0.8053	0.0000
C6orf221	0.0000	0.0000	5.3325
C6orf222	0.4803	20.5341	0.5925
C6orf223	13.9289	742.4947	600.7347
C6orf225	219.5005	361.9647	306.9175
C6orf226	406.8204	138.5049	128.5735
C6orf227	0.0000	4.8316	0.0000
C6orf25	0.0000	0.0000	0.0000
C6orf26	20.5139	3.4103	6.5176
C6orf27	21.1335	4.8316	1.1850
C6orf35	922.1902	305.9991	648.7928
C6orf41	11.0471	2.4158	1.7775
C6orf47	692.1230	538.3168	382.1656
C6orf48	1019.2123	3702.5890	1360.9836
C6orf52	3.3622	13.2868	2.9625
C6orf57	80.2113	208.9652	106.6509
C6orf58	0.0000	0.0000	0.0000
C6orf59	2.8818	7.6500	0.0000
C6orf62	4090.0192	1941.2260	2824.3756
C6orf64	571.0855	448.5302	478.7439
C6orf70	1277.6177	278.6202	442.0086
C6orf72	333.8136	1173.2649	905.3474
C6orf81	345.8213	4.4289	24.2927
C6orf89	1669.5485	3074.8882	2637.2389
C6orf94	1.4409	0.0000	0.0000
C6orf97	193.5639	297.1412	189.0090
C6	0.0000	16.5078	8.8876
C7orf10	14.8895	34.6262	43.8454
C7orf11	673.8713	700.5769	420.6784
C7orf13	125.8405	439.2697	113.7609
C7orf16	0.4803	2.0132	33.1803
C7orf23	508.6167	370.6897	147.5337
C7orf25	322.9203	518.9906	494.4867
C7orf26	414.0250	580.9956	1322.4707
C7orf27	4291.0663	2433.4980	2775.8851
C7orf28A	903.9385	941.7525	1311.2132
C7orf28B	423.6311	744.4636	1249.0001
C7orf29	0.9606	337.8069	303.9550
C7orf30	465.8982	341.0279	1022.6633
C7orf31	471.1816	243.5914	49.1779
C7orf33	0.0000	0.4026	0.0000
C7orf34	0.0000	0.4026	0.0000
C7orf36	245.9174	220.6415	306.3250
C7orf40	506.7243	297.1412	363.2055
C7orf41	233.4294	115.1523	197.3041
C7orf42	3143.6119	5347.3341	7113.0203
C7orf43	560.5187	737.2162	876.9071
C7orf44	826.6090	1009.7970	779.1438
C7orf45	0.4803	0.4026	1.7775
C7orf46	16.8108	39.4578	98.9483
C7orf47	675.7925	185.2100	161.7538
C7orf49	760.0144	1118.8897	609.6993
C7orf4	0.4803	0.0000	0.0000
C7orf50	654.6590	1848.0735	2437.5648
C7orf51	14.8895	13.2868	265.4422
C7orf52	0.9606	11.6763	538.5869
C7orf53	59.5581	22.5473	39.6978
C7orf54	2.4015	1.6105	2.9625
C7orf55	818.4438	273.7887	529.9185
C7orf57	0.9606	0.0000	0.5925
C7orf58	149.3756	128.4391	114.3534
C7orf59	2021.6138	1177.6939	1443.3417
C7orf60	280.0192	285.4649	432.5285
C7orf61	8.6455	1.6105	9.4801
C7orf63	44.6686	34.6262	88.2832
C7orf64	159.4621	384.1094	286.7723
C7orf65	0.0000	0.0000	0.0000
C7orf66	0.0000	0.0000	0.0000
C7orf68	93.1796	64.4209	442.6011
C7orf69	0.0000	0.4026	0.0000
C7orf70	302.5937	485.1696	553.9920
C7orf71	0.0000	0.0000	0.0000
C7orf72	0.0000	0.0000	0.0000
C7	670.0288	5558.3125	2543.0307
C8A	0.0000	0.0000	0.0000
C8B	0.0000	0.0000	0.0000
C8G	8.6455	1.2079	19.5527
C8ORFK29	5.7877	2.8224	19.6889
C8orf12	0.0000	0.0000	0.0000
C8orf22	0.0000	0.0000	0.0000
C8orf30A	1564.3612	593.0746	745.9636
C8orf31	7.2046	118.3733	116.7234
C8orf33	1164.2651	1655.2135	1999.1112
C8orf34	0.4803	0.0000	1.7775
C8orf37	93.6599	67.2393	106.6509
C8orf38	149.3756	112.7365	111.3909
C8orf39	2.4015	7.6500	4.1475
C8orf40	437.0797	681.2506	594.8748
